name,GW,was_home,position,goals_scored,assists,bonus,clean_sheets,saves,goals_conceded,yellow_cards,minutes,total_points
Aaron_Mooy_516,21,True,3,1,1,6,3,0,16,0,1052,39
Aaron_Mooy_516,23,True,3,1,1,6,3,0,17,0,1132,41
Aaron_Mooy_516,24,False,3,2,1,9,3,0,20,0,1222,43
Aaron_Mooy_516,25,False,3,2,1,9,3,0,23,0,1293,53
Aaron_Mooy_516,26,True,3,2,1,9,3,0,24,0,1383,55
Aaron_Mooy_516,27,False,3,2,1,9,3,0,25,0,1473,57
Aaron_Mooy_516,28,True,3,2,1,9,3,0,26,0,1563,59
Aaron_Mooy_516,29,False,3,2,1,9,4,0,26,0,1651,61
Aaron_Mooy_516,30,True,3,2,1,9,4,0,26,1,1696,64
Aaron_Mooy_516,31,False,3,2,1,9,5,0,26,1,1786,64
Aaron_Mooy_516,32,True,3,2,1,9,5,0,26,1,1795,67
Aaron_Mooy_516,33,False,3,2,2,9,6,0,26,1,1866,68
Aaron_Mooy_516,34,True,3,2,2,9,6,0,27,1,1885,74
Aaron_Mooy_516,35,True,3,2,2,9,6,0,32,1,1975,75
Aaron_Mooy_516,36,False,3,2,2,9,6,0,33,1,2006,77
Aaron_Mooy_516,37,True,3,2,2,9,6,0,33,1,2063,78
Aaron_Mooy_516,38,False,3,2,2,9,6,0,33,1,2079,79
Aaron_Ramsdale_494,1,True,1,0,0,0,0,2,1,0,90,0
Aaron_Ramsdale_494,2,False,1,0,0,0,0,8,2,0,180,2
Aaron_Ramsdale_494,3,True,1,0,0,0,0,10,5,0,270,6
Aaron_Ramsdale_494,4,False,1,0,0,0,0,12,8,0,360,7
Aaron_Ramsdale_494,5,True,1,0,0,0,0,16,9,0,450,8
Aaron_Ramsdale_494,6,False,1,0,1,3,0,22,10,0,540,11
Aaron_Ramsdale_494,7,True,1,0,1,3,0,26,12,0,630,21
Aaron_Ramsdale_494,8,False,1,0,1,3,0,27,13,0,720,23
Aaron_Ramsdale_494,9,True,1,0,1,3,1,28,13,0,810,25
Aaron_Ramsdale_494,10,False,1,0,1,4,2,31,13,0,900,31
Aaron_Ramsdale_494,11,True,1,0,1,6,3,35,13,0,990,39
Aaron_Ramsdale_494,12,False,1,0,1,7,3,42,15,0,1080,48
Aaron_Ramsdale_494,13,True,1,0,1,7,3,47,17,0,1170,52
Aaron_Ramsdale_494,14,False,1,0,1,7,3,49,20,0,1260,54
Aaron_Ramsdale_494,15,False,1,0,1,7,3,50,21,0,1350,55
Aaron_Ramsdale_494,16,True,1,0,1,7,3,56,24,0,1440,57
Aaron_Ramsdale_494,17,False,1,0,1,10,4,61,24,0,1530,60
Aaron_Ramsdale_494,18,True,1,0,1,10,4,61,25,0,1620,70
Aaron_Ramsdale_494,19,True,1,0,1,10,4,62,26,0,1710,72
Aaron_Ramsdale_494,20,False,1,0,1,10,4,66,28,0,1800,74
Aaron_Ramsdale_494,21,False,1,0,1,10,4,69,32,0,1890,76
Aaron_Ramsdale_494,23,False,1,0,1,10,4,72,33,0,1980,77
Aaron_Ramsdale_494,24,True,1,0,1,10,4,79,34,0,2070,80
Aaron_Ramsdale_494,25,True,1,0,1,10,4,83,35,0,2160,84
Aaron_Ramsdale_494,26,False,1,0,1,10,4,86,37,0,2250,87
Aaron_Ramsdale_494,27,False,1,0,1,10,4,93,40,0,2340,89
Aaron_Ramsdale_494,28,True,1,0,1,10,4,98,42,0,2430,92
Aaron_Ramsdale_494,29,False,1,0,1,10,4,102,44,0,2520,94
Aaron_Ramsdale_494,30,True,1,0,1,10,4,102,46,0,2610,96
Aaron_Ramsdale_494,31,False,1,0,1,10,4,103,47,0,2700,97
Aaron_Ramsdale_494,32,True,1,0,1,10,4,106,51,0,2790,99
Aaron_Ramsdale_494,33,False,1,0,1,10,4,112,56,0,2880,100
Aaron_Ramsdale_494,34,True,1,0,1,10,5,112,56,0,2970,102
Aaron_Ramsdale_494,35,True,1,0,1,10,5,116,57,0,3060,108
Aaron_Ramsdale_494,36,False,1,0,1,10,5,118,59,0,3150,111
Aaron_Ramsdale_494,37,True,1,0,1,13,5,124,61,0,3240,112
Aaron_Ramsdale_494,38,False,1,0,1,13,5,128,62,0,3330,123
Aaron_Wan-Bissaka_122,1,True,2,0,0,2,1,0,0,0,90,0
Aaron_Wan-Bissaka_122,2,False,2,0,0,2,1,0,1,1,180,8
Aaron_Wan-Bissaka_122,3,True,2,0,0,2,1,0,3,2,270,9
Aaron_Wan-Bissaka_122,4,False,2,0,0,2,1,0,4,2,360,9
Aaron_Wan-Bissaka_122,5,True,2,0,0,2,2,0,4,2,450,11
Aaron_Wan-Bissaka_122,6,False,2,0,0,2,2,0,6,2,540,17
Aaron_Wan-Bissaka_122,9,True,2,0,0,2,2,0,7,2,630,18
Aaron_Wan-Bissaka_122,10,False,2,0,0,2,2,0,8,3,720,20
Aaron_Wan-Bissaka_122,11,False,2,0,0,2,2,0,9,3,800,21
Aaron_Wan-Bissaka_122,12,True,2,0,0,2,2,0,10,3,890,23
Aaron_Wan-Bissaka_122,13,False,2,0,0,2,2,0,13,4,980,25
Aaron_Wan-Bissaka_122,14,True,2,0,0,2,2,0,15,4,1070,25
Aaron_Wan-Bissaka_122,15,True,2,0,0,2,2,0,16,4,1160,26
Aaron_Wan-Bissaka_122,16,False,2,0,0,3,2,0,17,4,1250,28
Aaron_Wan-Bissaka_122,17,True,2,0,0,5,2,0,18,4,1340,31
Aaron_Wan-Bissaka_122,18,False,2,0,0,5,2,0,20,4,1430,35
Aaron_Wan-Bissaka_122,19,True,2,0,1,6,2,0,21,4,1520,36
Aaron_Wan-Bissaka_122,21,False,2,0,1,6,2,0,23,4,1610,42
Aaron_Wan-Bissaka_122,22,True,2,0,1,6,3,0,23,4,1700,43
Aaron_Wan-Bissaka_122,23,False,2,0,1,6,3,0,25,4,1790,49
Aaron_Wan-Bissaka_122,24,True,2,0,1,6,3,0,27,4,1880,50
Aaron_Wan-Bissaka_122,25,True,2,0,1,9,4,0,27,4,1970,51
Aaron_Wan-Bissaka_122,26,False,2,0,2,11,5,0,27,5,2060,60
Aaron_Wan-Bissaka_122,27,True,2,0,2,11,6,0,27,5,2150,70
Aaron_Wan-Bissaka_122,28,False,2,0,2,11,6,0,28,5,2240,76
Aaron_Wan-Bissaka_122,29,True,2,0,2,12,7,0,28,5,2330,78
Aaron_Wan-Bissaka_122,30,False,2,0,2,12,7,0,29,5,2420,85
