name,GW,total_points
Aaron_Ramsdale_494,22,0
Aaron_Ramsdale_494,23,3
Aaron_Ramsdale_494,24,4
Aaron_Ramsdale_494,25,3
Aaron_Ramsdale_494,26,2
Aaron_Ramsdale_494,27,3
Aaron_Ramsdale_494,28,2
Aaron_Ramsdale_494,29,2
Aaron_Ramsdale_494,30,1
Aaron_Ramsdale_494,31,2
Aaron_Ramsdale_494,32,1
Aaron_Ramsdale_494,33,2
Aaron_Ramsdale_494,34,6
Aaron_Ramsdale_494,35,3
Aaron_Ramsdale_494,36,1
Aaron_Ramsdale_494,37,11
Aaron_Ramsdale_494,38,3
Aaron_Wan-Bissaka_122,1,8
Aaron_Wan-Bissaka_122,2,1
Aaron_Wan-Bissaka_122,3,0
Aaron_Wan-Bissaka_122,4,2
Aaron_Wan-Bissaka_122,5,6
Aaron_Wan-Bissaka_122,6,1
Aaron_Wan-Bissaka_122,7,0
Aaron_Wan-Bissaka_122,8,0
Aaron_Wan-Bissaka_122,9,2
Aaron_Wan-Bissaka_122,10,1
Aaron_Wan-Bissaka_122,11,2
Aaron_Wan-Bissaka_122,12,2
Aaron_Wan-Bissaka_122,13,0
Aaron_Wan-Bissaka_122,14,1
Aaron_Wan-Bissaka_122,15,2
Aaron_Wan-Bissaka_122,16,3
Aaron_Wan-Bissaka_122,17,4
Aaron_Wan-Bissaka_122,18,1
Aaron_Wan-Bissaka_122,19,6
Aaron_Wan-Bissaka_122,20,0
Aaron_Wan-Bissaka_122,21,1
Aaron_Wan-Bissaka_122,22,6
Aaron_Wan-Bissaka_122,23,1
Aaron_Wan-Bissaka_122,24,1
Aaron_Wan-Bissaka_122,25,9
Aaron_Wan-Bissaka_122,26,10
Aaron_Wan-Bissaka_122,27,6
Aaron_Wan-Bissaka_122,28,2
Aaron_Wan-Bissaka_122,29,7
Aaron_Wan-Bissaka_122,30,2
Aaron_Wan-Bissaka_122,31,11
Aaron_Wan-Bissaka_122,32,10
Aaron_Wan-Bissaka_122,33,1
Aaron_Wan-Bissaka_122,34,5
Aaron_Wan-Bissaka_122,35,0
Aaron_Wan-Bissaka_122,36,5
Aaron_Wan-Bissaka_122,37,1
Aaron_Wan-Bissaka_122,38,7
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,22,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,23,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,24,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,25,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,26,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,27,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,28,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,29,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,30,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,31,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,32,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,33,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,34,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,35,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,36,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,37,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,38,0
Abdoulaye_Doucouré_368,1,0
Abdoulaye_Doucouré_368,2,2
Abdoulaye_Doucouré_368,3,2
Abdoulaye_Doucouré_368,4,1
Abdoulaye_Doucouré_368,5,2
Abdoulaye_Doucouré_368,6,2
Abdoulaye_Doucouré_368,7,2
Abdoulaye_Doucouré_368,8,3
Abdoulaye_Doucouré_368,9,9
Abdoulaye_Doucouré_368,10,2
Abdoulaye_Doucouré_368,11,2
Abdoulaye_Doucouré_368,12,3
Abdoulaye_Doucouré_368,13,2
Abdoulaye_Doucouré_368,14,2
Abdoulaye_Doucouré_368,15,1
Abdoulaye_Doucouré_368,16,2
Abdoulaye_Doucouré_368,17,2
Abdoulaye_Doucouré_368,18,2
Abdoulaye_Doucouré_368,19,0
Abdoulaye_Doucouré_368,20,6
Abdoulaye_Doucouré_368,21,9
Abdoulaye_Doucouré_368,22,14
Abdoulaye_Doucouré_368,23,2
Abdoulaye_Doucouré_368,24,1
Abdoulaye_Doucouré_368,25,2
Abdoulaye_Doucouré_368,26,9
Abdoulaye_Doucouré_368,27,2
Abdoulaye_Doucouré_368,28,6
Abdoulaye_Doucouré_368,29,1
Abdoulaye_Doucouré_368,30,3
Abdoulaye_Doucouré_368,31,1
Abdoulaye_Doucouré_368,32,1
Abdoulaye_Doucouré_368,33,2
Abdoulaye_Doucouré_368,34,2
Abdoulaye_Doucouré_368,35,2
Abdoulaye_Doucouré_368,36,5
Abdoulaye_Doucouré_368,37,2
Abdoulaye_Doucouré_368,38,2
Adalberto_Peñaranda_648,32,0
Adalberto_Peñaranda_648,33,0
Adalberto_Peñaranda_648,34,0
Adalberto_Peñaranda_648,35,0
Adalberto_Peñaranda_648,36,0
Adalberto_Peñaranda_648,37,0
Adalberto_Peñaranda_648,38,0
Adam_Idah_538,5,0
Adam_Idah_538,6,0
Adam_Idah_538,7,0
Adam_Idah_538,8,0
Adam_Idah_538,9,0
Adam_Idah_538,10,0
Adam_Idah_538,11,0
Adam_Idah_538,12,0
Adam_Idah_538,13,0
Adam_Idah_538,14,0
Adam_Idah_538,15,0
Adam_Idah_538,16,0
Adam_Idah_538,17,0
Adam_Idah_538,18,0
Adam_Idah_538,19,0
Adam_Idah_538,20,0
Adam_Idah_538,21,1
Adam_Idah_538,22,2
Adam_Idah_538,23,0
Adam_Idah_538,24,0
Adam_Idah_538,25,0
Adam_Idah_538,26,0
Adam_Idah_538,27,0
Adam_Idah_538,28,0
Adam_Idah_538,29,1
Adam_Idah_538,30,1
Adam_Idah_538,31,1
Adam_Idah_538,32,1
Adam_Idah_538,33,1
Adam_Idah_538,34,1
Adam_Idah_538,35,1
Adam_Idah_538,36,1
Adam_Idah_538,37,1
Adam_Idah_538,38,1
Adam_Lallana_195,1,0
Adam_Lallana_195,2,0
Adam_Lallana_195,3,1
Adam_Lallana_195,4,0
Adam_Lallana_195,5,0
Adam_Lallana_195,6,1
Adam_Lallana_195,7,0
Adam_Lallana_195,8,1
Adam_Lallana_195,9,7
Adam_Lallana_195,10,0
Adam_Lallana_195,11,2
Adam_Lallana_195,12,0
Adam_Lallana_195,13,0
Adam_Lallana_195,14,1
Adam_Lallana_195,15,2
Adam_Lallana_195,16,0
Adam_Lallana_195,17,0
Adam_Lallana_195,19,1
Adam_Lallana_195,20,5
Adam_Lallana_195,21,1
Adam_Lallana_195,22,1
Adam_Lallana_195,23,1
Adam_Lallana_195,24,0
Adam_Lallana_195,25,1
Adam_Lallana_195,26,0
Adam_Lallana_195,27,0
Adam_Lallana_195,28,1
Adam_Lallana_195,29,1
Adam_Lallana_195,30,0
Adam_Lallana_195,31,0
Adam_Lallana_195,32,0
Adam_Lallana_195,33,0
Adam_Lallana_195,34,0
Adam_Lallana_195,35,0
Adam_Lallana_195,36,0
Adam_Lallana_195,37,0
Adam_Lallana_195,38,0
Adam_Masina_355,1,0
Adam_Masina_355,2,0
Adam_Masina_355,3,0
Adam_Masina_355,4,0
Adam_Masina_355,5,0
Adam_Masina_355,6,0
Adam_Masina_355,7,0
Adam_Masina_355,8,0
Adam_Masina_355,9,0
Adam_Masina_355,10,6
Adam_Masina_355,11,1
Adam_Masina_355,12,0
Adam_Masina_355,13,0
Adam_Masina_355,14,1
Adam_Masina_355,15,0
Adam_Masina_355,16,6
Adam_Masina_355,17,0
Adam_Masina_355,18,0
Adam_Masina_355,19,0
Adam_Masina_355,20,1
Adam_Masina_355,21,1
Adam_Masina_355,22,7
Adam_Masina_355,23,6
Adam_Masina_355,24,1
Adam_Masina_355,25,6
Adam_Masina_355,26,2
Adam_Masina_355,27,1
Adam_Masina_355,28,7
Adam_Masina_355,29,2
Adam_Masina_355,30,8
Adam_Masina_355,31,2
Adam_Masina_355,32,1
Adam_Masina_355,33,1
Adam_Masina_355,34,2
Adam_Masina_355,35,2
Adam_Masina_355,36,0
Adam_Masina_355,37,1
Adam_Masina_355,38,1
Adam_Smith_63,1,1
Adam_Smith_63,2,2
Adam_Smith_63,3,1
Adam_Smith_63,4,1
Adam_Smith_63,5,0
Adam_Smith_63,6,0
Adam_Smith_63,7,0
Adam_Smith_63,8,0
Adam_Smith_63,9,5
Adam_Smith_63,10,6
Adam_Smith_63,11,12
Adam_Smith_63,12,1
Adam_Smith_63,13,1
Adam_Smith_63,14,0
Adam_Smith_63,15,2
Adam_Smith_63,16,0
Adam_Smith_63,17,0
Adam_Smith_63,18,0
Adam_Smith_63,19,0
Adam_Smith_63,20,0
Adam_Smith_63,21,0
Adam_Smith_63,22,0
Adam_Smith_63,23,1
Adam_Smith_63,24,2
Adam_Smith_63,25,2
Adam_Smith_63,26,1
Adam_Smith_63,27,0
Adam_Smith_63,28,0
Adam_Smith_63,29,1
Adam_Smith_63,30,0
Adam_Smith_63,31,2
Adam_Smith_63,32,0
Adam_Smith_63,33,0
Adam_Smith_63,34,6
Adam_Smith_63,35,0
Adam_Smith_63,36,0
Adam_Smith_63,37,0
Adam_Smith_63,38,2
Adam_Webster_493,1,0
Adam_Webster_493,2,0
Adam_Webster_493,3,0
Adam_Webster_493,4,0
Adam_Webster_493,5,2
Adam_Webster_493,6,8
Adam_Webster_493,7,0
Adam_Webster_493,8,6
Adam_Webster_493,9,7
Adam_Webster_493,10,-1
Adam_Webster_493,11,1
Adam_Webster_493,12,0
Adam_Webster_493,13,0
Adam_Webster_493,14,1
Adam_Webster_493,15,8
Adam_Webster_493,16,1
Adam_Webster_493,17,2
Adam_Webster_493,18,2
Adam_Webster_493,19,10
Adam_Webster_493,20,0
Adam_Webster_493,21,2
Adam_Webster_493,22,2
Adam_Webster_493,23,1
Adam_Webster_493,24,1
Adam_Webster_493,25,1
Adam_Webster_493,26,0
Adam_Webster_493,27,7
Adam_Webster_493,28,2
Adam_Webster_493,29,6
Adam_Webster_493,30,2
Adam_Webster_493,31,1
Adam_Webster_493,32,0
Adam_Webster_493,33,6
Adam_Webster_493,34,1
Adam_Webster_493,35,0
Adam_Webster_493,36,2
Adam_Webster_493,37,5
Adam_Webster_493,38,2
Adama_Traoré_417,1,0
Adama_Traoré_417,2,1
Adama_Traoré_417,3,1
Adama_Traoré_417,4,2
Adama_Traoré_417,5,1
Adama_Traoré_417,6,8
Adama_Traoré_417,7,3
Adama_Traoré_417,8,16
Adama_Traoré_417,9,2
Adama_Traoré_417,10,2
Adama_Traoré_417,11,2
Adama_Traoré_417,12,5
Adama_Traoré_417,13,5
Adama_Traoré_417,14,2
Adama_Traoré_417,15,3
Adama_Traoré_417,16,2
Adama_Traoré_417,17,10
Adama_Traoré_417,18,2
Adama_Traoré_417,19,13
Adama_Traoré_417,20,1
Adama_Traoré_417,21,2
Adama_Traoré_417,22,2
Adama_Traoré_417,23,10
Adama_Traoré_417,24,5
Adama_Traoré_417,25,3
Adama_Traoré_417,26,1
Adama_Traoré_417,27,1
Adama_Traoré_417,28,2
Adama_Traoré_417,29,1
Adama_Traoré_417,30,4
Adama_Traoré_417,31,6
Adama_Traoré_417,32,1
Adama_Traoré_417,33,2
Adama_Traoré_417,34,3
Adama_Traoré_417,35,1
