name,GW,total_points
Abdoulaye_Doucouré_368,7,2
Abdoulaye_Doucouré_368,8,3
Abdoulaye_Doucouré_368,9,9
Abdoulaye_Doucouré_368,10,2
Abdoulaye_Doucouré_368,11,2
Abdoulaye_Doucouré_368,12,3
Abdoulaye_Doucouré_368,13,2
Abdoulaye_Doucouré_368,14,2
Abdoulaye_Doucouré_368,15,1
Abdoulaye_Doucouré_368,16,2
Abdoulaye_Doucouré_368,17,2
Abdoulaye_Doucouré_368,18,2
Abdoulaye_Doucouré_368,20,6
Abdoulaye_Doucouré_368,21,9
Abdoulaye_Doucouré_368,22,14
Abdoulaye_Doucouré_368,23,2
Abdoulaye_Doucouré_368,24,1
Abdoulaye_Doucouré_368,25,2
Abdoulaye_Doucouré_368,26,9
Abdoulaye_Doucouré_368,27,2
Abdoulaye_Doucouré_368,28,6
Abdoulaye_Doucouré_368,29,1
Abdoulaye_Doucouré_368,30,3
Abdoulaye_Doucouré_368,31,1
Abdoulaye_Doucouré_368,32,1
Abdoulaye_Doucouré_368,33,2
Abdoulaye_Doucouré_368,34,2
Abdoulaye_Doucouré_368,35,2
Abdoulaye_Doucouré_368,36,5
Abdoulaye_Doucouré_368,37,2
Abdoulaye_Doucouré_368,38,2
Adam_Idah_538,21,1
Adam_Idah_538,22,2
Adam_Idah_538,29,1
Adam_Idah_538,30,1
Adam_Idah_538,31,1
Adam_Idah_538,32,1
Adam_Idah_538,33,1
Adam_Idah_538,34,1
Adam_Idah_538,35,1
Adam_Idah_538,36,1
Adam_Idah_538,37,1
Adam_Idah_538,38,1
Adam_Lallana_195,3,1
Adam_Lallana_195,6,1
Adam_Lallana_195,8,1
Adam_Lallana_195,9,7
Adam_Lallana_195,11,2
Adam_Lallana_195,14,1
Adam_Lallana_195,15,2
Adam_Lallana_195,19,1
Adam_Lallana_195,20,5
Adam_Lallana_195,21,1
Adam_Lallana_195,22,1
Adam_Lallana_195,23,1
Adam_Lallana_195,25,1
Adam_Lallana_195,28,1
Adam_Lallana_195,29,1
Adam_Masina_355,10,6
Adam_Masina_355,11,1
Adam_Masina_355,12,0
Adam_Masina_355,13,0
Adam_Masina_355,14,1
Adam_Masina_355,15,0
Adam_Masina_355,16,6
Adam_Masina_355,20,1
Adam_Masina_355,21,1
Adam_Masina_355,22,7
Adam_Masina_355,23,6
Adam_Masina_355,24,1
Adam_Masina_355,25,6
Adam_Masina_355,26,2
Adam_Masina_355,27,1
Adam_Masina_355,28,7
Adam_Masina_355,29,2
Adam_Masina_355,30,8
Adam_Masina_355,31,2
Adam_Masina_355,32,1
Adam_Masina_355,33,1
Adam_Masina_355,34,2
Adam_Masina_355,35,2
Adam_Masina_355,36,0
Adam_Masina_355,37,1
Adam_Masina_355,38,1
Adam_Smith_63,1,1
Adam_Smith_63,2,2
Adam_Smith_63,3,1
Adam_Smith_63,4,1
Adam_Smith_63,9,5
Adam_Smith_63,10,6
Adam_Smith_63,11,12
Adam_Smith_63,12,1
Adam_Smith_63,13,1
Adam_Smith_63,15,2
Adam_Smith_63,22,0
Adam_Smith_63,23,1
Adam_Smith_63,24,2
Adam_Smith_63,25,2
Adam_Smith_63,26,1
Adam_Smith_63,27,0
Adam_Smith_63,28,0
Adam_Smith_63,29,1
Adam_Smith_63,30,0
Adam_Smith_63,31,2
Adam_Smith_63,32,0
Adam_Smith_63,33,0
Adam_Smith_63,34,6
Adam_Smith_63,38,2
Adam_Webster_493,4,0
Adam_Webster_493,5,2
Adam_Webster_493,6,8
Adam_Webster_493,7,0
Adam_Webster_493,8,6
Adam_Webster_493,9,7
Adam_Webster_493,10,-1
Adam_Webster_493,11,1
Adam_Webster_493,13,0
Adam_Webster_493,14,1
Adam_Webster_493,15,8
Adam_Webster_493,16,1
