name,GW,goals_scored,assists,bonus,clean_sheets,saves,yellow_cards,minutes,total_points
Aaron_Lennon_430,41,0,0,0,0,0,4,485,15
Aaron_Lennon_430,42,0,0,0,0,0,4,485,15
Aaron_Lennon_430,43,0,0,0,0,0,4,485,15
Aaron_Lennon_430,44,0,0,0,0,0,4,485,15
Aaron_Lennon_430,45,0,0,0,0,0,4,485,15
Aaron_Lennon_430,46,0,0,0,0,0,4,485,15
Aaron_Lennon_430,47,0,0,0,0,0,4,485,15
Aaron_Mooy_516,1,0,0,0,0,0,0,0,0
Aaron_Mooy_516,2,0,0,0,0,0,0,5,1
Aaron_Mooy_516,3,0,0,0,0,0,0,5,1
Aaron_Mooy_516,4,0,0,0,0,0,0,5,1
Aaron_Mooy_516,5,0,0,0,0,0,0,15,2
Aaron_Mooy_516,6,0,0,0,1,0,0,84,5
Aaron_Mooy_516,7,0,0,0,1,0,0,148,7
Aaron_Mooy_516,8,0,0,0,2,0,0,238,10
Aaron_Mooy_516,9,0,0,0,2,0,0,272,8
Aaron_Mooy_516,10,0,0,0,2,0,0,272,8
Aaron_Mooy_516,11,0,0,0,2,0,0,272,8
Aaron_Mooy_516,12,0,0,0,2,0,0,272,8
Aaron_Mooy_516,13,0,0,0,2,0,0,362,10
Aaron_Mooy_516,14,0,0,0,2,0,0,452,12
Aaron_Mooy_516,15,0,1,3,2,0,0,542,20
Aaron_Mooy_516,16,0,1,3,2,0,0,632,22
Aaron_Mooy_516,17,0,1,3,2,0,0,722,24
Aaron_Mooy_516,18,0,1,3,2,0,0,812,26
Aaron_Mooy_516,19,0,1,3,2,0,0,902,28
Aaron_Mooy_516,20,1,1,6,3,0,0,985,39
Aaron_Mooy_516,21,1,1,6,3,0,0,1052,41
Aaron_Mooy_516,22,1,1,6,3,0,0,1052,41
Aaron_Mooy_516,23,1,1,6,3,0,0,1132,43
Aaron_Mooy_516,24,2,1,9,3,0,0,1222,53
Aaron_Mooy_516,25,2,1,9,3,0,0,1293,55
Aaron_Mooy_516,26,2,1,9,3,0,0,1383,57
Aaron_Mooy_516,27,2,1,9,3,0,0,1473,59
Aaron_Mooy_516,28,2,1,9,3,0,0,1563,61
Aaron_Mooy_516,29,2,1,9,4,0,0,1651,64
Aaron_Mooy_516,39,2,1,9,4,0,1,1696,64
Aaron_Mooy_516,40,2,1,9,5,0,1,1786,67
Aaron_Mooy_516,41,2,1,9,5,0,1,1795,68
Aaron_Mooy_516,42,2,2,9,6,0,1,1866,74
Aaron_Mooy_516,43,2,2,9,6,0,1,1885,75
Aaron_Mooy_516,44,2,2,9,6,0,1,1975,77
Aaron_Mooy_516,45,2,2,9,6,0,1,2006,78
Aaron_Mooy_516,46,2,2,9,6,0,1,2063,79
Aaron_Mooy_516,47,2,2,9,6,0,1,2079,80
Aaron_Ramsdale_494,1,0,0,0,0,2,0,90,2
Aaron_Ramsdale_494,2,0,0,0,0,8,0,180,6
Aaron_Ramsdale_494,3,0,0,0,0,10,0,270,7
Aaron_Ramsdale_494,4,0,0,0,0,12,0,360,8
Aaron_Ramsdale_494,5,0,0,0,0,16,0,450,11
Aaron_Ramsdale_494,6,0,1,3,0,22,0,540,21
Aaron_Ramsdale_494,7,0,1,3,0,26,0,630,23
Aaron_Ramsdale_494,8,0,1,3,0,27,0,720,25
Aaron_Ramsdale_494,9,0,1,3,1,28,0,810,31
Aaron_Ramsdale_494,10,0,1,4,2,31,0,900,39
Aaron_Ramsdale_494,11,0,1,6,3,35,0,990,48
Aaron_Ramsdale_494,12,0,1,7,3,42,0,1080,52
Aaron_Ramsdale_494,13,0,1,7,3,47,0,1170,54
Aaron_Ramsdale_494,14,0,1,7,3,49,0,1260,55
Aaron_Ramsdale_494,15,0,1,7,3,50,0,1350,57
Aaron_Ramsdale_494,16,0,1,7,3,56,0,1440,60
Aaron_Ramsdale_494,17,0,1,10,4,61,0,1530,70
Aaron_Ramsdale_494,18,0,1,10,4,61,0,1620,72
Aaron_Ramsdale_494,19,0,1,10,4,62,0,1710,74
Aaron_Ramsdale_494,20,0,1,10,4,66,0,1800,76
Aaron_Ramsdale_494,21,0,1,10,4,69,0,1890,77
