element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
69140,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51507,60,58,103,2871,2,1,11,42,2,0,0,8,0,0,5,0,0.0,0.0,0.0,0.0
80254,55,54,12,498,0,1,1,15,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
41270,65,62,68,1651,2,2,5,19,0,0,0,5,0,0,3,0,0.0,0.0,0.0,0.0
37339,55,45,37,785,1,1,2,10,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
47390,40,45,112,3082,0,1,14,41,1,0,0,4,0,0,5,0,0.0,0.0,0.0,0.0
114283,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40564,55,55,1,28,0,0,0,3,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
79852,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,65,64,122,3051,0,0,12,35,0,0,0,0,1,85,0,0,0.0,0.0,0.0,0.0
54469,40,40,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40349,50,45,87,1998,0,0,6,31,0,0,0,0,0,84,5,0,0.0,0.0,0.0,0.0
15237,45,44,76,1914,4,1,2,38,0,0,0,1,0,0,6,0,0.0,0.0,0.0,0.0
40387,50,48,14,247,1,0,0,6,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0
61933,50,47,6,213,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17997,50,47,97,2474,1,3,9,32,0,0,0,3,1,0,4,0,0.0,0.0,0.0,0.0
15749,70,68,166,3420,0,0,17,29,0,1,0,0,0,99,4,0,0.0,0.0,0.0,0.0
17349,75,72,89,1571,3,8,5,21,0,0,0,1,0,0,7,0,0.0,0.0,0.0,0.0
82263,40,39,14,331,1,0,0,7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
88894,50,46,7,216,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74230,45,43,3,270,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19188,50,47,50,2402,1,1,3,58,2,0,0,2,0,0,3,0,0.0,0.0,0.0,0.0
58786,55,52,43,962,0,1,4,7,0,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0
59125,60,56,24,532,1,0,2,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20066,45,45,107,3060,0,0,3,73,0,2,0,1,0,167,2,0,0.0,0.0,0.0,0.0
60252,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50471,45,44,77,1771,3,2,5,24,0,0,0,4,0,0,7,0,0.0,0.0,0.0,0.0
50472,55,50,80,2876,0,3,7,51,0,0,0,7,0,0,5,0,0.0,0.0,0.0,0.0
19419,55,54,84,2492,3,0,6,50,0,0,0,4,1,0,11,0,0.0,0.0,0.0,0.0
59949,70,70,30,1127,0,0,2,14,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
12745,80,77,134,2970,4,2,9,35,0,0,0,7,0,0,18,0,0.0,0.0,0.0,0.0
55422,50,56,102,1495,7,5,6,25,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0
20467,90,90,169,2728,8,11,12,33,0,0,0,1,0,0,19,0,0.0,0.0,0.0,0.0
41823,55,50,22,848,0,0,4,11,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
37642,45,53,123,2423,1,3,15,23,1,0,0,6,1,0,11,0,0.0,0.0,0.0,0.0
51938,65,59,62,1499,2,2,4,22,0,0,0,3,0,0,4,0,0.0,0.0,0.0,0.0
41727,40,40,10,720,0,0,1,19,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
66797,45,44,121,2571,0,0,11,33,0,1,0,0,0,91,5,0,0.0,0.0,0.0,0.0
81880,60,48,40,562,2,1,3,9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
56979,65,56,95,2658,2,2,10,34,0,0,0,3,0,0,8,0,0.0,0.0,0.0,0.0
15157,75,68,86,1586,3,5,6,17,0,0,0,3,0,0,10,0,0.0,0.0,0.0,0.0
58621,55,65,140,3227,2,1,14,32,0,0,0,4,0,0,8,0,0.0,0.0,0.0,0.0
37572,110,114,211,2576,23,9,18,18,0,0,0,2,0,0,30,0,0.0,0.0,0.0,0.0
103955,50,46,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20664,95,97,184,2801,6,17,15,25,0,0,0,0,0,0,21,0,0.0,0.0,0.0,0.0
55909,55,52,60,1297,1,0,6,14,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
18892,100,96,123,1565,6,11,9,18,0,0,0,3,0,0,12,0,0.0,0.0,0.0,0.0
76359,55,60,108,2125,1,3,12,20,1,0,0,6,0,0,6,0,0.0,0.0,0.0,0.0
66749,80,74,11,165,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51940,65,62,134,2610,0,0,13,29,0,1,0,0,0,111,1,0,0.0,0.0,0.0,0.0
74208,55,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
109322,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43670,95,97,162,2516,6,16,13,30,0,0,0,2,0,0,12,0,0.0,0.0,0.0,0.0
58845,50,45,41,1145,1,2,2,21,0,0,0,3,0,0,5,0,0.0,0.0,0.0,0.0
50232,50,48,28,730,1,0,2,8,0,0,0,2,0,0,2,0,0.0,0.0,0.0,0.0
38290,50,48,11,320,0,0,1,2,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0
58771,50,49,85,2672,1,1,10,36,0,0,0,3,0,0,6,0,0.0,0.0,0.0,0.0
40142,100,91,84,2074,4,3,8,26,0,0,0,5,0,0,8,0,0.0,0.0,0.0,0.0
19838,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
83428,40,39,35,1825,1,0,2,45,0,0,0,6,0,0,3,0,0.0,0.0,0.0,0.0
20480,45,50,156,3420,0,1,15,51,0,2,0,4,0,114,4,0,0.0,0.0,0.0,0.0
63426,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
108416,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18832,45,43,42,2405,0,0,4,57,0,0,0,7,0,0,1,0,0.0,0.0,0.0,0.0
7645,55,54,107,2570,2,2,9,31,0,0,0,2,0,0,6,0,0.0,0.0,0.0,0.0
18440,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49384,55,51,34,925,2,1,0,18,0,0,0,2,1,0,4,0,0.0,0.0,0.0,0.0
83427,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40146,45,44,13,540,0,0,1,9,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
20452,60,57,97,2185,8,1,6,33,0,0,0,2,0,0,9,0,0.0,0.0,0.0,0.0
40383,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
78056,50,45,27,952,0,0,4,12,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
78830,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39215,40,52,158,3330,0,0,14,49,0,2,0,2,0,143,3,0,0.0,0.0,0.0,0.0
9089,50,48,140,3330,0,0,10,49,0,2,0,0,0,109,8,0,0.0,0.0,0.0,0.0
43250,55,50,17,451,0,1,1,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
89085,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
60232,45,43,14,542,0,0,1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50175,70,63,112,2012,9,5,11,24,0,0,0,3,0,0,12,0,0.0,0.0,0.0,0.0
18656,55,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20658,60,57,85,1549,1,1,10,10,0,0,0,5,0,0,5,0,0.0,0.0,0.0,0.0
81012,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43020,100,99,106,1477,10,2,12,11,0,0,0,0,0,0,18,0,0.0,0.0,0.0,0.0
37096,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
54102,65,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
87835,40,40,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
