element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
98745,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38411,55,47,63,1184,0,1,8,17,0,0,0,2,0,0,2,101,0.0,0.0,0.0,0.0
51507,55,56,155,2739,2,0,17,26,0,0,0,1,1,0,24,228,0.0,0.0,0.0,0.0
80254,45,40,50,803,1,2,3,9,0,0,0,1,0,0,7,57,0.0,0.0,0.0,0.0
37605,100,96,137,2141,5,10,13,23,0,0,0,0,0,0,18,162,0.0,0.0,0.0,0.0
41270,65,60,53,1360,0,1,5,10,0,0,0,6,0,0,4,74,0.0,0.0,0.0,0.0
101184,40,39,49,1641,0,0,4,29,0,0,0,0,0,0,4,84,0.0,0.0,0.0,0.0
37339,50,49,100,3325,2,2,10,51,0,0,0,3,0,0,2,141,0.0,0.0,0.0,0.0
43252,40,39,56,1867,1,0,5,30,2,0,0,0,0,0,1,102,0.0,0.0,0.0,0.0
47390,45,44,23,593,0,1,1,9,0,0,0,1,0,0,3,36,0.0,0.0,0.0,0.0
114283,45,45,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
169359,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
79852,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
126184,45,42,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
40349,55,54,136,2880,1,0,9,36,0,1,0,1,0,104,9,161,0.0,0.0,0.0,0.0
18726,45,48,125,2577,0,1,14,26,0,0,0,0,0,67,6,149,0.0,0.0,0.0,0.0
103912,45,39,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
15237,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40387,45,43,11,361,0,0,0,9,0,0,0,1,0,0,0,16,0.0,0.0,0.0,0.0
61933,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20529,55,52,26,402,1,2,1,5,0,0,0,1,0,0,0,23,0.0,0.0,0.0,0.0
78916,40,40,8,607,0,0,0,18,0,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0
68983,50,42,43,1664,0,3,2,36,0,0,0,4,0,0,3,69,0.0,0.0,0.0,0.0
17997,45,43,71,2245,2,1,7,41,2,0,0,9,0,0,7,95,0.0,0.0,0.0,0.0
