element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
21205,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,65,62,150,3150,0,0,0,23,0,0,0,0,0,65,0,0,0.0,0.0,0.0,0.0
17997,50,48,46,1145,0,1,0,11,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
15749,35,36,7,90,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
17349,75,74,98,1974,3,8,0,36,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0
19419,40,37,51,1745,0,0,0,26,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
12745,45,45,95,3117,3,2,0,59,0,0,0,8,0,0,2,0,0.0,0.0,0.0,0.0
20467,85,83,36,646,0,3,0,7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
17745,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15157,65,59,114,2675,3,7,0,37,0,0,0,3,0,0,11,0,0.0,0.0,0.0,0.0
17601,50,50,139,3240,0,1,0,55,0,2,0,1,0,117,4,0,0.0,0.0,0.0,0.0
18892,60,62,134,2780,5,6,0,38,0,0,0,3,0,0,20,0,0.0,0.0,0.0,0.0
40142,39,39,4,91,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19838,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20480,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7645,55,55,121,3420,4,1,0,55,0,0,0,4,0,1,17,0,0.0,0.0,0.0,0.0
20452,55,51,39,815,2,0,0,11,0,0,0,2,0,0,4,0,0.0,0.0,0.0,0.0
20145,35,34,33,1558,0,1,0,32,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
41338,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9089,50,50,109,2565,0,0,0,44,0,0,0,0,0,114,11,0,0.0,0.0,0.0,0.0
18073,45,43,37,837,2,0,0,11,0,0,0,2,0,0,5,0,0.0,0.0,0.0,0.0
19194,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
32259,35,35,3,90,0,0,0,2,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0
19236,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
