name,GW,fixture,opponent_team,goals_scored,assists,bonus,bps,red_cards,penalties_saved,penalties_missed,clean_sheets,saves,goals_conceded,yellow_cards,minutes,total_points,team_a_score,team_h_score,position,was_home,team_h_difficulty,team_a_difficulty,opponent_goals,opponent_conceded,difficulty,form
Aaron_Cresswell_402,4,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,3.0,5.0,3,0.0
Aaron_Cresswell_402,9,89,17,0,0,0,10,0,0,0,0,0,1,1,90,1,2,0,2,1,4,3,15.0,7.0,4,0.0
Aaron_Cresswell_402,10,95,11,0,0,0,28,0,0,0,0,0,2,1,180,3,3,1,2,0,3,3,15.0,15.0,3,0.5
Aaron_Cresswell_402,11,109,4,0,0,0,35,0,0,0,0,0,3,1,195,4,5,5,2,1,2,3,10.0,21.0,2,0.75
Aaron_Cresswell_402,12,115,10,0,0,0,50,0,0,0,0,0,5,1,285,5,6,6,2,0,3,2,5.0,21.0,2,1.0
Aaron_Cresswell_402,13,129,13,0,0,0,63,0,0,0,0,0,6,1,375,7,10,6,2,1,4,3,36.0,5.0,4,1.5
Aaron_Cresswell_402,14,139,15,0,0,0,67,0,0,0,0,0,7,1,420,8,13,6,2,0,3,3,11.0,16.0,3,1.25
Aaron_Cresswell_402,19,188,16,0,0,0,74,0,0,0,0,0,7,1,475,9,15,7,2,0,3,2,19.0,33.0,2,0.0
Aaron_Cresswell_402,20,192,4,0,0,0,90,0,0,0,0,0,8,1,565,11,15,9,2,0,3,3,17.0,41.0,3,0.5
Aaron_Cresswell_402,21,209,3,0,0,0,107,0,0,0,0,0,10,1,655,12,17,11,2,1,2,3,22.0,27.0,2,0.75
Aaron_Cresswell_402,22,220,1,0,0,0,115,0,0,0,0,0,12,1,745,13,17,12,2,1,4,3,46.0,31.0,4,1.0
Aaron_Cresswell_402,23,222,2,0,0,0,136,0,0,0,1,0,12,1,835,19,17,14,2,0,3,3,31.0,42.0,3,2.5
Aaron_Cresswell_402,25,250,12,0,0,0,149,0,0,0,1,0,14,1,925,20,18,15,2,1,4,3,55.0,14.0,4,2.0
Aaron_Cresswell_402,26,252,7,0,0,0,156,0,0,0,1,0,15,1,1015,22,19,16,2,0,3,2,26.0,33.0,2,2.25
Aaron_Cresswell_402,27,270,9,0,0,0,171,0,0,0,1,0,16,1,1105,24,20,19,2,1,2,3,25.0,58.0,2,1.25
Aaron_Cresswell_402,29,289,15,0,0,0,184,0,0,0,1,0,17,1,1195,26,20,21,2,1,2,3,26.0,34.0,2,1.5
Aaron_Cresswell_402,30,292,5,0,0,0,188,0,0,0,1,0,17,1,1228,27,20,23,2,0,3,2,25.0,57.0,2,1.25
Aaron_Cresswell_402,31,309,10,0,0,0,204,0,0,0,1,0,19,1,1318,28,23,27,2,1,2,3,15.0,53.0,2,1.0
Aaron_Cresswell_402,32,320,8,0,1,0,227,0,0,0,1,0,22,1,1408,32,25,27,2,1,2,3,43.0,42.0,2,1.5
Aaron_Cresswell_402,33,322,6,0,1,0,245,0,0,0,1,0,24,1,1498,33,25,29,2,0,3,4,55.0,34.0,4,1.75
Aaron_Lennon_83,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0.0,0.0,2,0.0
Aaron_Lennon_83,2,12,18,0,0,0,6,0,0,0,1,0,0,0,90,3,3,1,3,1,3,3,2.0,0.0,3,3.0
Aaron_Lennon_83,3,23,9,0,0,0,10,0,0,0,1,0,3,0,180,5,5,5,3,0,2,2,1.0,5.0,2,2.5
Aaron_Lennon_83,4,32,14,0,0,0,14,0,0,0,1,0,7,0,270,7,7,5,3,1,4,3,4.0,7.0,4,2.3333333333333335
Aaron_Lennon_83,5,50,20,0,0,0,16,0,0,0,1,0,9,0,360,9,7,6,3,0,2,3,4.0,5.0,3,2.25
Aaron_Lennon_83,6,53,2,0,0,0,22,0,0,0,1,0,10,0,450,11,7,10,3,1,2,3,10.0,7.0,2,2.0
Aaron_Lennon_83,7,63,5,1,1,2,60,0,0,0,2,0,10,0,540,24,9,11,3,0,2,2,3.0,14.0,2,4.75
Aaron_Lennon_83,8,72,10,1,1,2,67,0,0,0,2,0,11,1,630,25,10,12,3,1,2,3,3.0,16.0,2,4.5
Aaron_Lennon_83,9,87,13,1,1,2,76,0,0,0,2,0,12,1,720,27,10,17,3,0,2,5,21.0,3.0,5,4.5
Aaron_Lennon_83,11,109,19,1,1,2,80,0,0,0,2,0,15,1,788,29,12,21,3,0,2,3,9.0,15.0,3,1.25
Aaron_Lennon_83,12,116,11,1,1,2,85,0,0,0,2,0,17,1,862,31,12,21,3,0,2,3,17.0,16.0,3,1.5
Aaron_Lennon_83,13,123,15,1,1,2,96,0,0,0,3,0,17,1,952,34,14,22,3,1,2,3,9.0,15.0,2,1.75
Aaron_Lennon_83,14,134,7,1,1,2,113,0,0,0,3,0,19,1,1042,36,14,24,3,0,2,2,8.0,17.0,2,1.75
Aaron_Lennon_83,15,143,12,1,1,2,117,0,0,0,3,0,20,1,1087,37,17,25,3,1,4,3,27.0,5.0,4,2.0
Aaron_Lennon_83,16,153,3,1,1,2,122,0,0,0,3,0,21,1,1106,38,17,26,3,1,2,3,19.0,21.0,2,1.75
Aaron_Lennon_83,17,168,17,1,1,2,124,0,0,0,3,0,21,1,1124,39,17,27,3,0,2,4,30.0,16.0,4,1.25
Aaron_Mooy_199,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,4,2,0.0,0.0,4,0.0
Aaron_Mooy_199,3,24,5,0,0,0,24,0,0,0,0,0,3,0,90,2,3,0,3,1,2,2,0.0,2.0,2,1.0
Aaron_Mooy_199,4,36,8,0,0,0,33,0,0,0,1,0,3,0,180,5,4,1,3,0,2,3,6.0,5.0,3,1.6666666666666667
Aaron_Mooy_199,5,44,7,0,0,0,54,0,0,0,1,0,4,0,270,7,5,1,3,1,2,2,3.0,6.0,2,1.75
Aaron_Mooy_199,6,57,11,0,0,0,66,0,0,0,1,0,5,0,360,9,6,4,3,0,2,3,8.0,9.0,3,1.75
Aaron_Mooy_199,7,66,17,0,0,0,81,0,0,0,1,0,8,0,450,11,8,4,3,1,4,2,12.0,7.0,4,2.25
Aaron_Mooy_199,8,72,4,0,0,0,89,0,0,0,1,0,10,0,540,13,9,5,3,0,2,3,9.0,11.0,3,2.0
Aaron_Mooy_199,9,86,12,0,0,0,107,0,0,0,1,0,11,0,630,15,10,5,3,1,4,2,15.0,3.0,4,2.0
Aaron_Mooy_199,10,100,18,0,0,0,120,0,0,0,1,0,12,0,720,17,10,8,3,0,2,3,13.0,12.0,3,2.0
Aaron_Mooy_199,11,106,9,0,0,0,131,0,0,0,1,0,15,1,810,18,10,9,3,1,2,2,11.0,28.0,2,1.75
Aaron_Mooy_199,12,115,19,0,0,0,153,0,0,0,2,0,15,1,900,21,11,10,3,1,3,2,13.0,17.0,3,2.0
Aaron_Mooy_199,13,130,20,0,0,0,162,0,0,0,2,0,16,1,990,23,13,10,3,0,2,3,12.0,13.0,3,2.0
Aaron_Mooy_199,14,135,3,2,0,3,213,0,0,0,3,0,16,1,1080,39,15,11,3,1,2,2,14.0,19.0,2,5.5
Aaron_Mooy_199,15,141,2,2,0,3,221,0,0,0,3,0,17,1,1142,41,16,13,3,0,2,3,23.0,21.0,3,5.75
Aaron_Mooy_199,16,151,1,2,0,3,237,0,0,0,3,0,19,2,1232,42,16,14,3,0,2,4,34.0,20.0,4,5.25
Aaron_Mooy_199,24,234,8,2,0,3,243,0,0,0,3,0,20,2,1322,44,17,14,3,1,2,2,34.0,33.0,2,0.0
Aaron_Mooy_199,25,244,6,2,0,3,246,0,0,0,3,0,20,2,1357,45,17,19,3,0,2,4,40.0,23.0,4,0.25
Aaron_Mooy_199,26,254,1,2,0,3,269,0,0,0,3,0,25,2,1447,47,19,20,3,1,4,2,51.0,36.0,4,0.75
Aaron_Mooy_199,27,269,15,2,0,3,277,0,0,0,3,0,27,2,1537,49,19,22,3,0,2,3,22.0,34.0,3,1.25
Aaron_Mooy_199,28,274,20,2,0,3,287,0,0,0,3,0,29,2,1627,51,19,23,3,1,3,2,35.0,34.0,3,1.75
Aaron_Mooy_199,29,282,3,2,0,3,291,0,0,0,3,0,29,2,1639,52,19,24,3,0,2,2,29.0,41.0,2,1.75
Aaron_Mooy_199,30,295,2,2,0,3,292,0,0,0,3,0,30,3,1688,52,21,24,3,1,2,2,39.0,54.0,2,1.25
Aaron_Mooy_199,31,309,19,2,0,3,301,0,0,0,3,0,32,4,1778,53,24,28,3,0,2,3,37.0,43.0,3,1.0
Aaron_Mooy_199,32,315,7,2,1,4,331,0,0,0,3,0,36,4,1868,59,24,30,3,0,2,2,36.0,41.0,2,2.0
Aaron_Mooy_199,33,324,11,2,1,4,340,0,0,0,3,0,38,4,1958,61,28,31,3,1,3,2,42.0,43.0,3,2.25
Aaron_Mooy_199,34,339,17,3,1,5,371,0,0,0,3,0,42,4,2048,69,28,35,3,0,2,4,60.0,34.0,4,4.25
Aaron_Mooy_199,35,346,18,3,1,5,374,0,0,0,3,0,44,4,2056,70,30,36,3,1,3,2,47.0,48.0,3,4.25
Aaron_Mooy_199,37,366,14,3,1,5,389,0,0,0,3,0,46,4,2146,72,31,37,3,1,4,2,64.0,51.0,4,2.75
Aaron_Mooy_199,38,378,16,3,1,5,397,0,0,0,3,0,47,4,2236,74,32,38,3,0,2,2,44.0,64.0,2,1.25
Aaron_Ramsey_14,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4,4,0.0,0.0,4,0.0
Aaron_Ramsey_14,2,14,6,0,0,0,7,0,0,0,0,0,1,0,53,1,4,3,3,0,4,4,3.0,0.0,4,1.0
Aaron_Ramsey_14,3,21,19,0,0,0,9,0,0,0,0,0,2,0,75,2,5,6,3,1,3,4,1.0,6.0,3,1.0
Aaron_Ramsey_14,4,33,5,0,0,0,24,0,0,0,0,0,3,0,165,4,8,8,3,0,4,2,0.0,2.0,2,1.3333333333333333
Aaron_Ramsey_14,5,46,15,0,0,0,39,0,0,0,0,0,5,0,255,6,10,9,3,0,4,3,3.0,6.0,3,1.5
Aaron_Ramsey_14,6,51,8,0,0,0,51,0,0,0,1,0,5,0,334,9,10,11,3,1,2,4,8.0,9.0,2,2.0
Aaron_Ramsey_14,7,61,18,0,2,0,79,0,0,0,2,0,5,0,413,18,10,13,3,1,3,4,11.0,6.0,3,4.0
Aaron_Ramsey_14,8,74,9,0,2,0,81,0,0,0,3,0,5,0,475,21,15,14,3,0,4,2,8.0,16.0,2,4.25
Aaron_Ramsey_14,9,81,11,1,3,1,111,0,0,0,3,0,5,0,498,31,16,17,3,1,3,4,14.0,12.0,3,6.25
Aaron_Ramsey_14,10,93,7,1,3,1,114,0,0,0,3,0,5,0,508,32,18,19,3,0,4,2,5.0,11.0,2,5.75
Aaron_Ramsey_14,11,101,12,1,3,1,115,0,0,0,3,0,6,0,520,33,19,20,3,1,4,4,20.0,4.0,4,3.75
Aaron_Ramsey_14,12,111,20,1,3,1,118,0,0,0,3,0,6,0,537,34,20,21,3,1,3,4,11.0,12.0,3,3.25
Aaron_Ramsey_14,13,121,2,1,4,1,131,0,0,0,3,0,6,0,552,38,22,22,3,0,4,3,21.0,16.0,3,1.75
Aaron_Ramsey_14,14,131,17,1,4,1,136,0,0,0,3,0,6,0,560,39,24,26,3,1,4,4,23.0,11.0,4,1.75
Aaron_Ramsey_14,15,145,14,1,6,1,157,0,0,0,3,0,6,0,605,46,26,28,3,0,4,4,22.0,23.0,4,3.25
Aaron_Ramsey_14,19,181,3,1,6,1,163,0,0,0,3,0,7,0,650,47,27,29,3,0,4,2,20.0,26.0,2,0.25
Aaron_Ramsey_14,20,196,12,1,6,1,166,0,0,0,3,0,7,0,678,48,28,34,3,0,4,5,43.0,7.0,5,0.25
Aaron_Ramsey_14,21,201,9,1,6,1,172,0,0,0,3,0,12,0,768,50,29,38,3,1,2,4,18.0,43.0,2,0.75
Aaron_Ramsey_14,22,220,19,2,6,1,193,0,0,0,3,0,12,0,783,56,29,39,3,0,4,3,29.0,32.0,3,2.25
Aaron_Ramsey_14,23,221,6,2,6,1,199,0,0,0,3,0,12,0,814,57,29,41,3,1,4,4,40.0,17.0,4,2.5
Aaron_Ramsey_14,24,231,5,2,6,1,203,0,0,0,4,0,12,0,880,60,30,43,3,1,2,4,19.0,44.0,2,3.0
Aaron_Ramsey_14,25,248,13,2,6,1,203,0,0,0,4,0,13,0,894,61,31,46,3,0,4,5,63.0,19.0,5,2.75
Aaron_Ramsey_14,27,261,16,2,6,1,205,0,0,0,4,0,13,0,918,62,31,48,3,1,2,4,28.0,44.0,2,1.25
Aaron_Ramsey_14,29,287,17,2,6,1,212,0,0,0,5,0,13,0,980,65,32,49,3,0,4,4,55.0,29.0,4,1.0
Aaron_Ramsey_14,30,291,14,3,6,1,234,0,0,0,6,0,13,0,1051,73,32,51,3,1,4,4,58.0,38.0,4,2.75
Aaron_Ramsey_14,32,311,15,3,6,1,240,0,0,0,7,0,13,0,1141,76,32,53,3,1,2,4,31.0,40.0,2,2.75
Aaron_Ramsey_14,33,323,8,4,6,4,274,0,0,0,8,0,13,0,1207,87,32,54,3,0,4,3,45.0,42.0,3,5.5
Aaron_Ramsey_14,34,340,18,4,6,4,284,0,0,0,8,0,13,0,1252,88,33,54,3,0,4,3,47.0,47.0,3,3.75
Aaron_Rowe_607,30,295,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,2,39.0,54.0,2,0.0
Aaron_Rowe_607,31,309,19,0,0,0,3,0,0,0,0,0,0,0,14,1,5,4,3,0,2,3,37.0,43.0,3,0.25
Aaron_Wan-Bissaka_145,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0.0,0.0,2,0.0
Aaron_Wan-Bissaka_145,2,15,12,0,1,3,38,0,0,0,1,0,0,0,90,12,4,0,2,1,4,2,4.0,0.0,4,12.0
Aaron_Wan-Bissaka_145,4,35,16,0,1,3,37,1,0,0,1,0,2,0,164,10,6,0,2,1,2,2,2.0,4.0,2,3.3333333333333335
Aaron_Wan-Bissaka_145,5,44,10,0,1,3,53,1,0,0,1,0,4,1,254,10,7,0,2,0,2,2,2.0,10.0,2,2.5
Aaron_Wan-Bissaka_145,6,55,15,0,1,6,86,1,0,0,2,0,4,1,344,19,7,0,2,1,2,2,4.0,8.0,2,1.75
Aaron_Wan-Bissaka_145,7,62,2,0,1,9,115,1,0,0,3,0,4,1,434,28,8,2,2,0,2,3,10.0,11.0,3,4.5
Aaron_Wan-Bissaka_145,8,73,20,0,1,9,132,1,0,0,3,0,6,1,524,29,9,2,2,1,3,2,8.0,6.0,3,4.75
Aaron_Wan-Bissaka_145,9,85,8,0,1,9,148,1,0,0,3,0,7,1,614,31,9,4,2,0,2,3,13.0,12.0,3,5.25
Aaron_Wan-Bissaka_145,10,93,1,0,1,9,162,1,0,0,3,0,9,1,704,32,11,6,2,1,4,2,22.0,11.0,4,3.25
Aaron_Wan-Bissaka_145,11,104,6,0,1,9,175,1,0,0,3,0,11,1,794,33,12,9,2,0,2,4,24.0,7.0,4,1.25
