element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
69140,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51507,60,59,85,2617,2,0,9,36,0,0,0,5,2,0,0,0,0.0,0.0,0.0,0.0
41270,60,65,56,953,2,0,4,8,0,0,0,3,0,0,10,0,0.0,0.0,0.0,0.0
37339,45,46,109,2457,0,3,11,38,0,0,0,1,0,0,9,0,0.0,0.0,0.0,0.0
40564,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,65,61,135,3420,0,0,14,44,1,0,0,4,0,106,2,0,0.0,0.0,0.0,0.0
78007,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40349,45,44,108,2520,0,0,8,32,0,1,0,3,0,97,5,0,0.0,0.0,0.0,0.0
56872,50,50,16,348,1,0,1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40387,45,43,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61933,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17997,45,49,123,2820,3,2,13,45,0,0,0,5,0,0,5,0,0.0,0.0,0.0,0.0
60689,45,41,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15749,60,69,175,3420,0,1,18,33,0,1,0,1,0,115,4,0,0.0,0.0,0.0,0.0
17349,80,73,99,2361,3,3,8,26,0,0,0,1,0,0,10,0,0.0,0.0,0.0,0.0
82263,45,40,7,360,0,0,1,5,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
88894,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74230,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49413,45,41,41,1579,1,1,2,33,0,0,0,3,0,0,1,0,0.0,0.0,0.0,0.0
19188,45,44,67,1800,2,1,6,25,1,0,0,4,0,0,2,0,0.0,0.0,0.0,0.0
58786,45,37,42,860,0,1,5,7,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
20066,45,43,74,2160,0,0,5,41,0,0,0,0,0,77,0,0,0.0,0.0,0.0,0.0
50471,45,41,21,557,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50472,50,46,75,1976,3,1,5,34,0,0,0,2,0,0,8,0,0.0,0.0,0.0,0.0
19419,55,56,105,3213,3,0,5,53,0,0,0,7,1,0,23,0,0.0,0.0,0.0,0.0
59949,45,52,116,2256,4,4,7,27,0,0,0,4,1,0,8,0,0.0,0.0,0.0,0.0
12745,70,81,178,3420,5,11,9,45,0,0,0,4,0,0,20,0,0.0,0.0,0.0,0.0
20467,70,70,133,1691,9,8,10,16,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0
41823,50,50,9,414,0,0,0,7,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
37642,55,46,29,1004,0,0,4,16,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0
51938,45,44,99,1800,5,7,4,33,0,0,0,3,0,0,4,0,0.0,0.0,0.0,0.0
66797,40,40,83,2070,0,0,8,35,0,0,0,1,0,74,2,0,0.0,0.0,0.0,0.0
56979,55,54,133,3211,3,5,13,46,0,0,0,2,0,0,20,0,0.0,0.0,0.0,0.0
15157,90,81,97,2134,1,7,11,24,0,0,0,4,0,0,10,0,0.0,0.0,0.0,0.0
58621,40,40,51,1341,1,3,2,20,0,0,0,3,0,1,5,0,0.0,0.0,0.0,0.0
20664,90,86,144,2551,4,9,16,24,0,0,0,2,0,0,20,0,0.0,0.0,0.0,0.0
17601,40,40,72,2880,0,0,2,58,1,0,0,1,0,94,1,0,0.0,0.0,0.0,0.0
55909,50,44,51,1086,0,1,5,12,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
18892,85,84,160,3050,7,11,7,49,0,0,1,8,0,0,27,0,0.0,0.0,0.0,0.0
76359,45,42,70,2175,0,0,6,33,0,0,0,4,0,0,11,0,0.0,0.0,0.0,0.0
62398,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58845,45,41,51,1569,3,0,4,33,0,0,0,9,0,0,3,0,0.0,0.0,0.0,0.0
50232,50,50,18,340,0,1,0,5,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
38290,45,44,17,351,0,2,1,3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
58771,45,45,19,589,0,0,1,14,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0
40142,50,62,135,2071,13,6,7,34,0,0,0,5,0,0,21,0,0.0,0.0,0.0,0.0
83428,40,39,9,444,1,0,0,13,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0
20480,40,39,51,1856,0,0,3,35,0,0,0,0,0,48,0,0,0.0,0.0,0.0,0.0
18832,40,39,55,2501,0,0,5,50,1,0,0,7,0,0,4,0,0.0,0.0,0.0,0.0
40386,40,38,1,121,0,0,0,3,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
7645,55,56,104,2796,1,1,9,32,2,0,0,3,0,0,10,0,0.0,0.0,0.0,0.0
49384,55,50,41,1420,0,1,3,19,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0
83427,40,40,7,147,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
40146,40,40,4,35,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
83283,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41338,40,40,59,2387,1,0,4,53,0,0,0,1,0,0,3,0,0.0,0.0,0.0,0.0
9089,45,53,153,3369,0,1,9,55,0,1,0,3,0,178,9,0,0.0,0.0,0.0,0.0
43250,45,42,72,1637,4,2,2,26,0,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0
50175,55,44,79,1756,6,1,9,27,0,0,0,2,0,0,11,0,0.0,0.0,0.0,0.0
18656,55,52,108,2700,0,0,7,39,0,2,0,4,0,109,0,0,0.0,0.0,0.0,0.0
20658,60,61,102,1947,2,2,12,13,0,0,0,8,1,0,5,0,0.0,0.0,0.0,0.0
48717,45,40,5,407,0,0,0,12,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43020,75,71,110,1491,13,2,4,12,0,0,0,5,0,0,16,0,0.0,0.0,0.0,0.0
37096,50,45,55,1260,0,1,5,14,0,0,0,0,0,33,2,0,0.0,0.0,0.0,0.0
54102,50,49,93,2640,1,3,12,30,0,0,0,7,1,0,14,0,0.0,0.0,0.0,0.0
18073,55,53,78,2140,4,3,4,44,0,0,0,7,0,0,3,0,0.0,0.0,0.0,0.0
87835,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
94147,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
