element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
98745,55,65,172,3240,1,6,18,33,0,0,0,3,0,0,18,871,0.0,0.0,0.0,0.0
38411,55,59,152,3249,0,3,17,34,0,0,0,1,0,0,14,862,0.0,0.0,0.0,0.0
51507,60,63,153,2845,4,0,15,31,0,0,0,3,0,0,18,790,0.0,0.0,0.0,0.0
80254,50,48,28,1228,2,0,0,24,1,0,0,3,1,0,0,189,0.0,0.0,0.0,0.0
37605,85,92,200,3036,6,19,17,31,0,0,0,4,0,0,30,861,0.0,0.0,0.0,0.0
153256,55,52,25,792,0,1,5,8,0,0,0,3,0,0,0,145,0.0,0.0,0.0,0.0
101184,50,46,23,322,0,1,2,3,0,0,0,2,0,0,1,119,0.0,0.0,0.0,0.0
58822,50,47,86,1965,0,2,9,19,0,0,0,3,0,0,7,506,0.0,0.0,0.0,0.0
113534,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43252,50,44,27,964,0,0,3,18,0,0,0,4,0,0,3,168,0.0,0.0,0.0,0.0
47390,50,46,89,2947,0,2,8,46,0,0,0,4,0,0,4,506,0.0,0.0,0.0,0.0
114283,55,52,28,833,1,0,0,26,0,0,0,1,0,0,0,128,0.0,0.0,0.0,0.0
174597,45,44,2,59,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0
221239,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61603,45,46,129,3032,3,8,16,28,0,0,0,3,1,0,11,669,0.0,0.0,0.0,0.0
169359,40,37,61,1067,0,2,7,10,0,0,0,1,0,0,6,264,0.0,0.0,0.0,0.0
149484,45,41,1,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
56917,45,43,114,3195,4,2,7,63,0,0,0,5,0,0,12,695,0.0,0.0,0.0,0.0
126184,45,44,73,1874,1,1,7,25,0,0,0,4,1,0,7,378,0.0,0.0,0.0,0.0
41320,45,48,130,3285,3,5,7,63,0,0,0,2,0,0,20,757,0.0,0.0,0.0,0.0
15149,45,41,89,3386,0,4,6,67,0,0,0,5,1,0,9,752,0.0,0.0,0.0,0.0
54469,40,40,84,2100,2,0,6,35,0,0,0,5,0,0,11,495,0.0,0.0,0.0,0.0
75115,55,53,46,771,5,0,1,15,0,0,0,0,0,0,5,161,0.0,0.0,0.0,0.0
78007,50,43,98,1914,6,3,3,39,0,0,0,1,0,0,7,273,0.0,0.0,0.0,0.0
154566,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40349,50,46,55,1399,0,0,4,24,0,0,0,0,0,55,1,293,0.0,0.0,0.0,0.0
