element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
69140,55,54,109,2272,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202.0,117.0
98745,60,59,132,3050,2,4,12,44,0,0,0,5,0,0,11,656,554.0,561.0,484.0,160.1
111457,60,58,108,2146,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404.0,118.3
154043,45,45,25,908,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67.0,37.8
38411,55,57,130,2241,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305.0,124.0
51507,60,60,100,2225,2,0,9,32,0,0,0,4,0,0,16,556,692.0,123.8,137.0,95.5
233963,45,42,4,194,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2.0,5.5
80254,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
156074,50,44,27,819,0,1,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24.0,27.5
54694,105,108,87,1056,10,4,4,15,0,0,1,0,0,0,12,354,484.0,207.1,580.0,127.1
59966,105,103,138,2197,14,5,10,28,0,0,0,1,0,0,11,543,725.6,566.0,1291.0,258.0
205533,50,50,3,17,0,0,0,1,0,0,0,0,0,0,0,10,5.0,1.9,17.0,2.3
37605,95,93,112,2161,4,9,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555.0,248.6
57249,80,77,107,1712,3,9,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400.0,163.8
84450,55,51,109,3259,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378.0,195.3
153256,45,42,22,865,0,1,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92.0,42.5
41270,60,57,32,838,1,2,3,13,0,0,0,3,1,0,0,186,210.2,22.3,65.0,29.6
98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
101184,50,47,23,864,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40.0,134.0,40.2
58822,50,47,85,2794,0,3,7,44,0,0,0,3,0,0,2,481,507.0,455.6,159.0,112.3
200641,50,47,5,144,0,0,0,3,0,0,0,0,0,0,0,23,12.0,29.7,11.0,5.3
200089,45,45,3,81,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4.0,1.8
113534,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21205,50,47,8,305,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0.0,0.0,5.3
61603,50,47,24,520,1,0,1,7,0,0,0,0,0,0,1,117,116.4,88.1,54.0,25.7
169359,45,43,2,166,0,0,0,6,0,0,0,0,0,0,0,35,42.2,38.6,0.0,8.1
149484,45,42,3,201,0,0,0,5,0,0,0,1,0,0,0,40,46.6,14.8,10.0,7.2
56917,50,46,83,2764,2,1,5,53,1,0,0,5,0,0,9,495,870.0,65.6,271.0,120.6
126184,50,50,102,3352,2,3,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287.0,133.5
41320,50,47,94,3001,1,3,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196.0,125.9
15149,45,43,56,2708,0,1,4,47,0,0,0,8,1,0,3,491,726.8,418.4,163.0,131.0
54469,50,48,56,2067,1,3,2,38,0,0,0,6,0,0,3,376,455.0,345.5,144.0,94.5
222434,40,40,1,71,0,0,0,2,0,0,0,0,0,0,0,10,6.2,0.0,0.0,0.6
75115,60,56,102,1981,8,2,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799.0,147.5
78007,75,70,110,2450,8,4,7,38,0,0,0,3,0,0,10,381,577.0,556.7,902.0,203.7
154566,50,46,38,581,1,2,3,4,0,0,0,0,0,0,2,107,123.8,199.4,350.0,66.4
40349,45,45,112,3420,0,0,6,61,0,1,0,2,0,111,6,631,790.8,20.0,0.0,80.8
18726,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
90105,55,51,97,2003,5,3,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413.0,155.0
56872,60,57,75,1285,5,3,2,22,0,0,0,1,0,0,7,285,394.8,377.2,483.0,125.1
103912,50,46,85,1988,2,6,4,33,0,0,0,1,0,0,5,289,362.0,602.7,610.0,157.3
155408,45,43,58,2234,0,2,3,42,0,0,0,5,0,0,0,337,456.4,423.3,126.0,100.7
15237,45,43,82,1851,2,5,5,29,0,0,0,2,0,0,9,363,458.0,261.1,121.0,84.0
40387,50,48,59,1941,2,1,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274.0,93.3
168991,45,44,22,755,0,0,3,11,0,0,0,3,0,0,0,98,111.4,58.6,26.0,19.3
225321,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61933,45,46,100,3292,0,2,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361.0,148.9
42748,45,44,63,2237,0,0,6,36,1,0,0,2,0,0,5,369,346.2,154.6,18.0,52.1
83299,45,45,97,3420,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425.0,157.9
20529,60,59,111,2184,12,0,8,36,0,0,2,9,0,0,16,319,492.4,271.8,779.0,153.1
106757,60,60,16,221,1,1,1,8,0,0,0,0,0,0,2,47,50.4,24.6,89.0,15.8
131897,45,46,146,3420,0,0,10,54,0,2,0,0,0,124,13,726,911.6,0.0,0.0,91.1
60307,55,59,164,2928,7,8,10,46,0,0,0,2,0,0,24,635,735.4,1311.0,527.0,257.6
167473,60,59,101,1976,5,5,5,32,0,0,0,2,0,0,4,324,385.4,311.3,618.0,131.3
83543,60,55,88,2415,3,1,11,29,0,0,0,4,1,0,6,383,404.0,557.2,530.0,149.1
66242,55,53,87,3118,0,4,9,50,0,0,0,2,1,0,1,446,535.8,297.1,255.0,108.9
109345,50,48,74,1838,1,3,6,29,0,0,0,3,0,0,3,303,357.4,320.9,316.0,99.8
38490,45,44,25,735,0,0,1,14,0,0,0,2,0,0,0,115,111.2,137.0,48.0,29.6
40845,45,45,87,3240,0,3,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176.0,107.7
74471,55,52,113,3066,4,3,10,52,0,0,0,4,0,0,8,576,753.2,848.8,350.0,195.2
74375,45,44,20,1313,0,0,0,30,0,0,0,3,0,0,0,183,210.0,99.2,73.0,38.2
51927,45,49,90,2610,0,0,9,27,0,0,0,5,0,0,6,491,748.6,74.5,349.0,117.3
17761,45,46,101,2790,0,1,11,30,0,0,0,5,0,0,4,539,822.0,98.4,253.0,117.8
68983,45,44,89,2295,0,3,8,26,0,0,0,1,0,0,4,450,574.6,264.9,46.0,89.0
17997,45,40,33,1125,0,0,4,13,0,0,0,5,0,0,0,193,229.4,117.5,35.0,38.3
103914,45,42,23,949,0,0,2,12,0,0,0,3,0,0,0,132,184.2,86.8,4.0,27.5
41674,40,41,57,1440,1,2,4,21,1,0,0,1,0,0,6,282,460.0,64.8,220.0,74.5
44699,55,53,92,2150,9,0,5,23,0,0,0,10,0,0,9,290,407.2,274.8,797.0,145.8
60689,65,62,104,1621,10,1,10,11,0,0,0,1,0,0,20,314,442.0,203.5,692.0,133.8
98747,45,50,152,3114,0,0,11,35,0,1,0,3,0,113,19,701,862.4,40.0,0.0,90.1
15749,45,42,59,1710,0,1,4,39,0,1,0,0,0,54,3,341,382.8,20.0,0.0,40.2
60586,50,50,117,2831,2,9,10,33,0,0,0,2,0,0,7,467,599.0,1052.0,539.0,219.2
433154,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
90517,55,53,56,1277,1,4,6,12,0,0,0,3,0,0,7,216,273.8,477.9,221.0,97.3
39847,55,54,62,1998,1,1,12,17,0,0,0,6,0,0,0,353,353.8,310.8,117.0,78.4
83314,55,54,85,2326,2,2,9,28,0,0,0,1,0,0,1,307,265.6,408.2,335.0,100.9
60551,45,43,35,1105,0,1,2,17,0,0,0,2,0,0,1,189,182.4,134.8,90.0,40.7
40145,45,45,100,3420,2,1,12,39,0,0,0,7,0,0,6,533,589.6,332.8,265.0,119.0
17349,55,54,65,1906,0,4,6,30,0,0,0,2,0,0,0,204,232.2,203.2,297.0,73.3
39487,50,47,71,2717,0,1,7,50,0,0,0,5,0,0,1,456,567.4,247.2,58.0,87.3
44683,60,54,109,2807,7,1,10,41,0,0,0,2,0,0,11,335,460.4,329.8,931.0,171.1
82263,70,71,165,2855,7,2,13,30,0,0,0,6,0,0,15,650,697.8,549.6,822.0,207.1
102380,60,58,115,2336,2,1,12,22,0,0,0,4,0,0,8,557,546.6,83.0,217.0,84.8
41328,65,69,175,3330,2,6,15,38,1,0,0,1,0,0,25,913,967.4,535.7,168.0,167.5
109533,55,52,14,278,0,1,1,4,0,0,0,0,0,0,0,68,61.8,28.7,48.0,13.8
135363,55,53,79,2067,0,0,8,23,0,0,0,0,0,0,4,475,466.6,66.5,109.0,64.3
105700,60,59,58,1087,1,1,5,15,0,0,0,0,0,0,1,226,255.2,245.3,329.0,82.6
44346,85,84,77,981,7,1,5,11,0,0,0,0,0,0,10,273,307.0,311.1,673.0,129.0
20310,50,48,11,270,0,0,1,4,0,0,0,0,0,7,0,54,55.2,0.0,0.0,5.5
47431,70,70,130,1874,6,8,9,19,0,0,0,1,0,0,13,522,640.0,891.5,715.0,224.5
49579,80,77,81,1511,4,2,8,14,0,0,0,1,0,0,2,272,338.4,410.0,498.0,124.6
126187,45,44,77,1871,2,5,6,30,0,0,0,1,0,0,2,337,379.2,377.0,487.0,124.5
209046,45,45,2,27,0,0,0,1,0,0,0,0,0,0,0,11,8.8,1.7,27.0,3.8
88894,75,73,3,129,0,0,0,4,0,0,0,0,0,0,0,11,21.0,34.7,45.0,10.1
116594,50,49,101,2994,1,2,16,32,0,0,0,3,0,0,9,655,676.0,638.2,199.0,151.7
199598,45,45,1,10,0,0,0,1,0,0,0,0,0,0,0,6,7.4,0.0,0.0,0.7
103192,55,54,87,2887,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235.0,114.4
173879,55,54,86,1715,5,3,4,31,0,0,0,0,0,0,11,238,269.2,182.6,693.0,114.2
94245,85,81,25,351,2,1,1,7,1,0,0,0,0,0,3,77,99.4,39.0,123.0,25.7
167767,50,48,51,1023,2,2,6,9,0,0,0,1,0,0,5,171,236.4,224.1,253.0,71.4
194794,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74230,55,52,95,2182,5,1,6,38,0,0,0,7,0,0,7,448,537.0,303.8,319.0,116.3
49413,45,44,99,2386,3,0,9,32,0,0,0,8,0,0,9,512,712.6,22.4,309.0,104.7
40784,50,46,81,1597,1,2,6,23,0,0,0,1,0,0,18,405,426.2,30.7,77.0,53.6
55494,50,47,41,1613,0,1,4,25,1,0,0,4,0,0,0,276,340.6,163.5,58.0,56.3
19188,50,46,32,1434,1,0,1,26,0,0,0,4,0,0,0,211,342.2,62.3,268.0,67.0
58786,45,41,34,1193,0,0,4,21,1,0,0,1,0,0,1,185,222.6,25.7,84.0,33.3
54861,80,75,84,2234,3,7,6,36,0,0,1,6,0,0,5,174,325.2,406.7,845.0,157.5
59125,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20066,45,44,99,2430,0,0,7,41,0,0,0,1,0,91,11,506,603.8,10.0,0.0,61.4
82403,70,71,136,2549,9,7,10,31,0,0,0,5,0,0,8,404,668.0,716.9,1125.0,251.0
66975,50,52,144,3079,10,2,8,52,0,0,1,8,0,0,21,630,873.8,379.0,432.0,168.6
60252,60,56,121,3120,2,9,9,48,0,0,0,3,0,0,7,552,626.0,1012.1,587.0,222.8
86417,50,47,50,1742,0,2,3,30,0,0,0,3,0,0,0,281,339.6,189.7,155.0,68.6
50471,45,44,101,2425,5,2,7,35,0,0,0,5,0,0,9,416,490.6,333.0,566.0,138.9
55037,50,50,86,2798,2,3,7,56,0,0,0,5,0,0,2,367,480.0,262.4,320.0,106.1
50472,50,49,6,204,0,0,0,6,0,0,0,0,0,0,0,41,33.8,19.3,4.0,5.8
80146,50,54,108,2850,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944.0,185.8
19419,65,62,74,2082,0,0,9,27,0,0,0,1,1,0,2,447,496.6,55.6,99.0,65.4
173954,50,46,23,435,0,0,2,6,0,0,0,0,0,0,0,100,74.4,21.5,12.0,10.6
432705,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
209043,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
153133,55,51,89,1827,3,5,9,26,0,0,0,1,0,0,2,426,430.0,592.9,635.0,165.6
106611,55,53,81,2559,0,1,7,46,0,0,0,3,0,0,11,513,703.4,58.4,124.0,88.7
59949,65,64,39,1035,0,1,4,12,0,0,0,0,0,0,0,198,227.6,113.7,69.0,41.2
12745,60,57,82,1909,2,3,5,34,0,0,0,1,0,0,10,381,407.4,373.5,102.0,88.2
