element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
43252,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40564,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61603,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,60,60,169,3420,0,2,0,27,0,0,0,0,0,88,0,0,0.0,0.0,0.0,0.0
40349,40,40,8,180,0,0,0,2,0,0,0,0,0,12,0,0,0.0,0.0,0.0,0.0
56872,43,43,27,628,2,0,0,7,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0
40387,45,45,35,589,2,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
17997,45,43,57,2459,0,0,0,40,0,0,0,11,0,0,1,0,0.0,0.0,0.0,0.0
60689,40,40,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15749,50,45,75,1998,0,0,0,31,0,0,0,0,0,68,0,0,0.0,0.0,0.0,0.0
17349,70,68,128,2522,5,6,0,30,0,0,0,2,0,0,16,0,0.0,0.0,0.0,0.0
49413,40,40,51,1001,1,0,0,10,0,0,0,0,1,0,3,0,0.0,0.0,0.0,0.0
19419,45,47,124,2970,3,4,0,46,0,0,0,1,0,0,19,0,0.0,0.0,0.0,0.0
12745,50,52,128,2334,1,7,0,26,0,0,0,2,0,0,6,0,0.0,0.0,0.0,0.0
20467,70,67,54,1265,2,2,0,15,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
37642,45,42,73,1422,0,0,0,8,0,0,0,2,0,0,4,0,0.0,0.0,0.0,0.0
17745,40,39,2,72,0,0,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
51938,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61604,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
56979,45,45,1,45,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15157,60,61,128,3060,3,9,0,36,0,0,0,6,0,0,7,0,0.0,0.0,0.0,0.0
17601,50,44,110,3150,0,0,0,64,0,0,0,3,0,140,5,0,0.0,0.0,0.0,0.0
55909,40,40,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18892,85,86,153,3190,7,9,0,47,0,0,1,7,1,0,20,0,0.0,0.0,0.0,0.0
58845,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38290,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
58771,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40142,50,48,33,534,3,1,0,11,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0.0
20480,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40386,40,40,20,471,1,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7645,60,63,131,2974,0,0,0,36,0,0,0,2,0,0,25,0,0.0,0.0,0.0,0.0
49384,45,43,32,866,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40383,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9089,50,48,9,180,0,0,0,1,0,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0
50175,60,60,9,118,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
18656,55,51,133,3060,0,0,0,40,0,0,0,1,0,120,4,0,0.0,0.0,0.0,0.0
20658,55,55,75,2371,1,2,0,36,0,0,0,3,1,0,3,0,0.0,0.0,0.0,0.0
37096,50,46,20,463,0,0,0,10,0,0,0,0,0,18,0,0,0.0,0.0,0.0,0.0
54102,55,48,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18073,55,52,87,2345,3,5,0,36,0,0,2,7,1,0,10,0,0.0,0.0,0.0,0.0
19236,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
